"response status","response time (ms)","url","parent"
"200","451","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/coverage#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/coverage"
"200","279","https://aarp.plymouthrock.com#","http://www.prac.com/aarp"
"200","473","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/understanding-car-insurance","http://www.prac.com"
"200","459","https://www.plymouthrock.com/resource-center/ma-insurance-guides/claims-center-ma","https://www.plymouthrock.com/resource-center/ma-insurance-guides/claims-center-ma/file-claim"
"200","477","https://www.plymouthrock.com/resource-center/ma-insurance-guides/commercial-auto/compare","https://www.plymouthrock.com/resource-center/ma-insurance-guides/commercial-auto"
"200","523","https://www.plymouthrock.com/resource-center/ma-insurance-guides","http://www.prac.com"
"200","521","https://www.plymouthrock.com/resource-center/ma-insurance-guides/motorcycle-insurance#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/motorcycle-insurance"
"200","497","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/cheapest-not-best","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto"
"200","506","https://www.plymouthrock.com/resource-center/ma-insurance-guides/collector-car-insurance","http://www.prac.com"
"200","495","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto","http://www.prac.com"
"200","487","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/car-insurance-quote","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/finding-best-car-insurance"
"200","635","http://www.bunkerhillins.com",
"200","518","https://www.plymouthrock.com/resource-center/ma-insurance-guides/claims-center-ma#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/claims-center-ma"
"200","455","https://www.plymouthrock.com/resource-center/ma-insurance-guides/claims-center-ma/cancel-car-insurance#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/claims-center-ma/cancel-car-insurance"
"200","534","https://www.plymouthrock.com/resource-center/ma-insurance-guides/home#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/home"
"200","552","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/finding-best-car-insurance#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/finding-best-car-insurance"
"200","580","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/customer-benefits","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/finding-best-car-insurance"
"200","508","https://www.plymouthrock.com/resource-center/ma-insurance-guides/commercial-auto/discounts#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/commercial-auto/discounts"
"200","195","https://aarp.plymouthrock.com/#","https://aarp.plymouthrock.com/"
"response status","response time (ms)","url","parent"
"200","433","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/savings-pass","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/finding-best-car-insurance"
"200","463","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/car-insurance-quote#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/car-insurance-quote"
"200","484","https://www.plymouthrock.com/insurance/nj-teachers","http://www.bunkerhillins.com"
"200","460","https://www.plymouthrock.com/resource-center/insurance-101/covid-19","http://www.bunkerhillins.com"
"200","33","http://www.stsgi.com",
"200","469","https://www.plymouthrock.com/resource-center/insurance-101","http://www.bunkerhillins.com"
"200","103","http://www.prac.com/utility/terms-popup",
"200","535","https://www.plymouthrock.com/insurance","http://www.bunkerhillins.com"
"200","468","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto#","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto"
"200","481","https://www.plymouthrock.com/resource-center/ma-insurance-guides/commercial-auto/coverages","https://www.plymouthrock.com/resource-center/ma-insurance-guides/commercial-auto"
"200","301","https://aarp.plymouthrock.com/quickpay","http://www.prac.com/aarp"
"200","460","https://www.plymouthrock.com/privacy-policy","http://www.bunkerhillins.com"
"200","462","https://www.plymouthrock.com/resource-center/ma-insurance-guides/commercial-auto/discounts","https://www.plymouthrock.com/resource-center/ma-insurance-guides/commercial-auto"
"200","465","https://www.plymouthrock.com/insurance/home","http://www.bunkerhillins.com"
"200","442","https://www.plymouthrock.com/insurance/home/discounts","http://www.bunkerhillins.com"
"200","473","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/insure-new-car","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/finding-best-car-insurance"
"200","358","https://www.plymouthrock.com/resource-center/faq","http://www.bunkerhillins.com"
"200","291","https://www.plymouthrock.com/mypolicy","http://www.bunkerhillins.com"
"200","546","https://www.plymouthrock.com/claims/carpics-photo-appraisals?utm_source=EWS&utm_medium=EWS%20Homepage&utm_campaign=AdUnitC_CarPics","http://www.bunkerhillins.com"
"200","464","https://www.plymouthrock.com/about/financial-information","http://www.bunkerhillins.com"
"200","464","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/coverage","https://www.plymouthrock.com/resource-center/ma-insurance-guides/auto/finding-best-car-insurance"
